Fp1 Fpz Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 M1 T7 C3 Cz C4 T8 M2 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 POz O1 Oz O2 HEOG VEOG
-1517.745 -2.244 -3346.796 -6770.242 -11497.006 1634.981 9075.575 -9953.055 -170.494 5637.583 -116.629 -1610.155 0.000 -4373.308 -3008.898 -7025.734 9956.843 1969.679 0.000 -6956.312 1893.122 3545.206 7888.813 2986.371 3474.735 2671.718 7316.076 -751.176 -1417.336 -5325.063 4763.083 1028.829 0.000 0.000
-1508.679 8.276 -3340.268 -6768.532 -11488.987 1647.321 9079.640 -9953.221 -169.096 5648.599 -110.027 -1611.111 0.000 -4379.708 -3006.949 -7018.065 9954.470 1898.069 0.000 -6963.833 1892.975 3544.801 7878.056 2954.207 3469.494 2668.812 7305.170 -644.349 -1425.924 -5353.072 4766.762 1025.592 0.000 0.000
-1503.143 14.694 -3337.564 -6768.661 -11485.107 1655.082 9082.104 -9954.931 -170.972 5654.227 -106.864 -1614.256 0.000 -4387.137 -3006.747 -7015.436 9956.696 1835.157 0.000 -6966.500 1896.193 3548.001 7872.943 2941.738 3464.143 2666.991 7298.733 -529.172 -1431.827 -5380.473 4759.590 1012.811 0.000 0.000
-1505.093 13.130 -3340.102 -6774.141 -11487.093 1654.714 9078.941 -9958.223 -174.907 5652.057 -109.604 -1618.486 0.000 -4393.850 -3007.869 -7018.139 9955.758 1782.432 0.000 -6967.125 1894.703 3548.498 7870.608 2972.026 3462.984 2665.391 7295.166 -453.369 -1434.622 -5394.357 4789.676 1000.931 0.000 0.000
-1511.272 7.908 -3344.369 -6777.893 -11492.132 1646.622 9073.369 -9959.933 -178.475 5647.238 -117.108 -1621.980 0.000 -4396.884 -3012.282 -7024.392 9951.215 1737.634 0.000 -6972.440 1889.738 3542.484 7867.188 3002.627 3459.582 2663.332 7292.978 -422.547 -1436.443 -5402.890 4900.034 989.474 0.000 0.000
-1516.550 0.239 -3348.083 -6777.690 -11495.479 1638.384 9070.150 -9960.797 -179.027 5639.900 -120.804 -1621.134 0.000 -4391.808 -3013.404 -7028.346 9945.552 1697.636 0.000 -6972.789 1883.614 3537.041 7869.614 3002.682 3459.545 2659.543 7295.294 -408.148 -1431.698 -5402.504 4981.925 987.396 0.000 0.000
-1527.290 -11.365 -3353.233 -6780.246 -11503.295 1624.830 9064.505 -9961.495 -181.289 5630.963 -131.121 -1620.821 0.000 -4389.160 -3016.990 -7037.541 9941.138 1689.434 0.000 -6969.590 1877.546 3530.844 7874.231 3003.915 3459.085 2658.624 7296.490 -316.952 -1428.020 -5396.950 4987.570 986.237 0.000 0.000
-1539.629 -25.783 -3364.028 -6786.977 -11514.164 1609.272 9057.131 -9966.865 -187.909 5617.924 -142.449 -1625.878 0.000 -4391.771 -3026.001 -7049.751 9937.827 1650.024 0.000 -6968.780 1870.851 3525.014 7875.480 3036.226 3456.530 2653.346 7298.568 -200.764 -1428.094 -5390.624 5034.300 987.322 0.000 0.000
-1553.146 -38.785 -3376.165 -6797.772 -11525.455 1593.898 9044.221 -9977.035 -199.127 5603.580 -157.290 -1637.961 0.000 -4400.856 -3036.814 -7063.783 9930.361 1657.877 0.000 -6973.930 1862.355 3516.536 7869.394 3113.924 3449.486 2644.905 7294.099 -124.795 -1433.372 -5389.907 5104.218 1001.372 0.000 0.000
-1565.633 -50.517 -3389.020 -6811.344 -11540.130 1582.919 9030.428 -9990.460 -213.085 5589.990 -170.861 -1651.532 0.000 -4417.094 -3049.044 -7077.227 9914.086 1644.250 0.000 -6990.572 1847.239 3503.350 7854.185 3212.237 3437.293 2631.646 7282.165 86.359 -1448.305 -5397.502 5145.154 1001.188 0.000 0.000
